id,timestamp,parameterID,parameterName,parameterValue,parameterUnits
84828069,06/01/2021 01:00,12,Solar Radiation Flux Density,0,kW/m^2
84828251,06/01/2021 01:15,12,Solar Radiation Flux Density,0,kW/m^2
84828962,06/01/2021 01:30,12,Solar Radiation Flux Density,0,kW/m^2
84828963,06/01/2021 01:45,12,Solar Radiation Flux Density,0,kW/m^2
84829197,06/01/2021 02:00,12,Solar Radiation Flux Density,0,kW/m^2
84829332,06/01/2021 02:15,12,Solar Radiation Flux Density,0,kW/m^2
84829506,06/01/2021 02:30,12,Solar Radiation Flux Density,0,kW/m^2
84829796,06/01/2021 02:45,12,Solar Radiation Flux Density,0,kW/m^2
84830031,06/01/2021 03:00,12,Solar Radiation Flux Density,0,kW/m^2
84830032,06/01/2021 03:15,12,Solar Radiation Flux Density,0,kW/m^2
84830469,06/01/2021 03:30,12,Solar Radiation Flux Density,0,kW/m^2
84830470,06/01/2021 03:45,12,Solar Radiation Flux Density,0,kW/m^2
84830649,06/01/2021 04:00,12,Solar Radiation Flux Density,0,kW/m^2
84830974,06/01/2021 04:15,12,Solar Radiation Flux Density,0,kW/m^2
84830975,06/01/2021 04:30,12,Solar Radiation Flux Density,0,kW/m^2
84831395,06/01/2021 04:45,12,Solar Radiation Flux Density,0,kW/m^2
84831396,06/01/2021 05:00,12,Solar Radiation Flux Density,0,kW/m^2
84831580,06/01/2021 05:15,12,Solar Radiation Flux Density,0,kW/m^2
84831725,06/01/2021 05:30,12,Solar Radiation Flux Density,0.001,kW/m^2
84831961,06/01/2021 05:45,12,Solar Radiation Flux Density,0.002,kW/m^2
84832106,06/01/2021 06:00,12,Solar Radiation Flux Density,0.005,kW/m^2
84832512,06/01/2021 06:15,12,Solar Radiation Flux Density,0.015,kW/m^2
84832513,06/01/2021 06:30,12,Solar Radiation Flux Density,0.032,kW/m^2
84832831,06/01/2021 06:45,12,Solar Radiation Flux Density,0.037,kW/m^2
84833064,06/01/2021 07:00,12,Solar Radiation Flux Density,0.045,kW/m^2
84833248,06/01/2021 07:15,12,Solar Radiation Flux Density,0.057,kW/m^2
84833249,06/01/2021 07:30,12,Solar Radiation Flux Density,0.071,kW/m^2
84833516,06/01/2021 07:45,12,Solar Radiation Flux Density,0.081,kW/m^2
84833604,06/01/2021 08:00,12,Solar Radiation Flux Density,0.078,kW/m^2
84833966,06/01/2021 08:15,12,Solar Radiation Flux Density,0.121,kW/m^2
84833967,06/01/2021 08:30,12,Solar Radiation Flux Density,0.128,kW/m^2
84834337,06/01/2021 08:45,12,Solar Radiation Flux Density,0.139,kW/m^2
84834338,06/01/2021 09:00,12,Solar Radiation Flux Density,0.157,kW/m^2
84834486,06/01/2021 09:15,12,Solar Radiation Flux Density,0.181,kW/m^2
84834667,06/01/2021 09:30,12,Solar Radiation Flux Density,0.193,kW/m^2
84835037,06/01/2021 09:45,12,Solar Radiation Flux Density,0.199,kW/m^2
84835244,06/01/2021 10:00,12,Solar Radiation Flux Density,0.219,kW/m^2
84835245,06/01/2021 10:15,12,Solar Radiation Flux Density,0.222,kW/m^2
84835443,06/01/2021 10:30,12,Solar Radiation Flux Density,0.201,kW/m^2
84835820,06/01/2021 10:45,12,Solar Radiation Flux Density,0.242,kW/m^2
84835821,06/01/2021 11:00,12,Solar Radiation Flux Density,0.181,kW/m^2
84836035,06/01/2021 11:15,12,Solar Radiation Flux Density,0.111,kW/m^2
84836216,06/01/2021 11:30,12,Solar Radiation Flux Density,0.104,kW/m^2
84836679,06/01/2021 11:45,12,Solar Radiation Flux Density,0.107,kW/m^2
84836680,06/01/2021 12:00,12,Solar Radiation Flux Density,0.24,kW/m^2
84836771,06/01/2021 12:15,12,Solar Radiation Flux Density,0.134,kW/m^2
84836916,06/01/2021 12:30,12,Solar Radiation Flux Density,0.171,kW/m^2
84838106,06/01/2021 12:45,12,Solar Radiation Flux Density,0.201,kW/m^2
84838107,06/01/2021 13:00,12,Solar Radiation Flux Density,0.404,kW/m^2
84838598,06/01/2021 13:15,12,Solar Radiation Flux Density,0.668,kW/m^2
84838599,06/01/2021 13:30,12,Solar Radiation Flux Density,0.874,kW/m^2
84838987,06/01/2021 13:45,12,Solar Radiation Flux Density,0.824,kW/m^2
84838988,06/01/2021 14:00,12,Solar Radiation Flux Density,0.989,kW/m^2
84839311,06/01/2021 14:15,12,Solar Radiation Flux Density,0.959,kW/m^2
84839608,06/01/2021 14:30,12,Solar Radiation Flux Density,0.969,kW/m^2
84839609,06/01/2021 14:45,12,Solar Radiation Flux Density,0.916,kW/m^2
84839872,06/01/2021 15:00,12,Solar Radiation Flux Density,0.764,kW/m^2
84840004,06/01/2021 15:15,12,Solar Radiation Flux Density,0.828,kW/m^2
84840196,06/01/2021 15:30,12,Solar Radiation Flux Density,0.743,kW/m^2
84840439,06/01/2021 15:45,12,Solar Radiation Flux Density,0.304,kW/m^2
84841074,06/01/2021 16:00,12,Solar Radiation Flux Density,0.438,kW/m^2
84841075,06/01/2021 16:15,12,Solar Radiation Flux Density,0.389,kW/m^2
84841455,06/01/2021 16:30,12,Solar Radiation Flux Density,0.832,kW/m^2
84841456,06/01/2021 16:45,12,Solar Radiation Flux Density,0.63,kW/m^2
84841779,06/01/2021 17:00,12,Solar Radiation Flux Density,0.49,kW/m^2
84841780,06/01/2021 17:15,12,Solar Radiation Flux Density,0.342,kW/m^2
84841972,06/01/2021 17:30,12,Solar Radiation Flux Density,0.661,kW/m^2
84842305,06/01/2021 17:45,12,Solar Radiation Flux Density,0.626,kW/m^2
84842306,06/01/2021 18:00,12,Solar Radiation Flux Density,0.574,kW/m^2
84842512,06/01/2021 18:15,12,Solar Radiation Flux Density,0.526,kW/m^2
84842701,06/01/2021 18:30,12,Solar Radiation Flux Density,0.479,kW/m^2
84843210,06/01/2021 18:45,12,Solar Radiation Flux Density,0.432,kW/m^2
84843211,06/01/2021 19:00,12,Solar Radiation Flux Density,0.387,kW/m^2
84843421,06/01/2021 19:15,12,Solar Radiation Flux Density,0.342,kW/m^2
84843620,06/01/2021 19:30,12,Solar Radiation Flux Density,0.295,kW/m^2
84844054,06/01/2021 19:45,12,Solar Radiation Flux Density,0.088,kW/m^2
84844055,06/01/2021 20:00,12,Solar Radiation Flux Density,0.057,kW/m^2
84844590,06/01/2021 20:15,12,Solar Radiation Flux Density,0.034,kW/m^2
84844591,06/01/2021 20:30,12,Solar Radiation Flux Density,0.032,kW/m^2
84844958,06/01/2021 20:45,12,Solar Radiation Flux Density,0.039,kW/m^2
84844959,06/01/2021 21:00,12,Solar Radiation Flux Density,0.04,kW/m^2
84845161,06/01/2021 21:15,12,Solar Radiation Flux Density,0.019,kW/m^2
84845324,06/01/2021 21:30,12,Solar Radiation Flux Density,0.003,kW/m^2
84845686,06/01/2021 21:45,12,Solar Radiation Flux Density,0.001,kW/m^2
