id,timestamp,parameterID,parameterName,parameterValue,parameterUnits
84827942,06/01/2021 01:00,12,Solar Radiation Flux Density,0,kW/m^2
84828121,06/01/2021 01:15,12,Solar Radiation Flux Density,0,kW/m^2
84828277,06/01/2021 01:30,12,Solar Radiation Flux Density,0,kW/m^2
84828577,06/01/2021 01:45,12,Solar Radiation Flux Density,0,kW/m^2
84829234,06/01/2021 02:00,12,Solar Radiation Flux Density,0,kW/m^2
84829235,06/01/2021 02:15,12,Solar Radiation Flux Density,0,kW/m^2
84829543,06/01/2021 02:30,12,Solar Radiation Flux Density,0,kW/m^2
84829544,06/01/2021 02:45,12,Solar Radiation Flux Density,0,kW/m^2
84829898,06/01/2021 03:00,12,Solar Radiation Flux Density,0,kW/m^2
84829899,06/01/2021 03:15,12,Solar Radiation Flux Density,0,kW/m^2
84830315,06/01/2021 03:30,12,Solar Radiation Flux Density,0,kW/m^2
84830316,06/01/2021 03:45,12,Solar Radiation Flux Density,0,kW/m^2
84830510,06/01/2021 04:00,12,Solar Radiation Flux Density,0,kW/m^2
84830687,06/01/2021 04:15,12,Solar Radiation Flux Density,0,kW/m^2
84831040,06/01/2021 04:30,12,Solar Radiation Flux Density,0,kW/m^2
84831041,06/01/2021 04:45,12,Solar Radiation Flux Density,0,kW/m^2
84831251,06/01/2021 05:00,12,Solar Radiation Flux Density,0,kW/m^2
84831448,06/01/2021 05:15,12,Solar Radiation Flux Density,0,kW/m^2
84831776,06/01/2021 05:30,12,Solar Radiation Flux Density,0.001,kW/m^2
84831777,06/01/2021 05:45,12,Solar Radiation Flux Density,0.003,kW/m^2
84832157,06/01/2021 06:00,12,Solar Radiation Flux Density,0.008,kW/m^2
84832158,06/01/2021 06:15,12,Solar Radiation Flux Density,0.022,kW/m^2
84832368,06/01/2021 06:30,12,Solar Radiation Flux Density,0.048,kW/m^2
84832565,06/01/2021 06:45,12,Solar Radiation Flux Density,0.058,kW/m^2
84832723,06/01/2021 07:00,12,Solar Radiation Flux Density,0.066,kW/m^2
84832869,06/01/2021 07:15,12,Solar Radiation Flux Density,0.085,kW/m^2
84833104,06/01/2021 07:30,12,Solar Radiation Flux Density,0.103,kW/m^2
84833301,06/01/2021 07:45,12,Solar Radiation Flux Density,0.131,kW/m^2
84833655,06/01/2021 08:00,12,Solar Radiation Flux Density,0.14,kW/m^2
84833656,06/01/2021 08:15,12,Solar Radiation Flux Density,0.234,kW/m^2
84833887,06/01/2021 08:30,12,Solar Radiation Flux Density,0.219,kW/m^2
84834019,06/01/2021 08:45,12,Solar Radiation Flux Density,0.234,kW/m^2
84834250,06/01/2021 09:00,12,Solar Radiation Flux Density,0.273,kW/m^2
84834390,06/01/2021 09:15,12,Solar Radiation Flux Density,0.297,kW/m^2
84834719,06/01/2021 09:30,12,Solar Radiation Flux Density,0.308,kW/m^2
84834718,06/01/2021 09:45,12,Solar Radiation Flux Density,0.294,kW/m^2
84834893,06/01/2021 10:00,12,Solar Radiation Flux Density,0.317,kW/m^2
84835075,06/01/2021 10:15,12,Solar Radiation Flux Density,0.387,kW/m^2
84835480,06/01/2021 10:30,12,Solar Radiation Flux Density,0.477,kW/m^2
84835481,06/01/2021 10:45,12,Solar Radiation Flux Density,0.678,kW/m^2
84835886,06/01/2021 11:00,12,Solar Radiation Flux Density,0.435,kW/m^2
84835887,06/01/2021 11:15,12,Solar Radiation Flux Density,0.796,kW/m^2
84836267,06/01/2021 11:30,12,Solar Radiation Flux Density,0.834,kW/m^2
84836268,06/01/2021 11:45,12,Solar Radiation Flux Density,0.842,kW/m^2
84836731,06/01/2021 12:00,12,Solar Radiation Flux Density,0.757,kW/m^2
84836732,06/01/2021 12:15,12,Solar Radiation Flux Density,0.817,kW/m^2
84836967,06/01/2021 12:30,12,Solar Radiation Flux Density,0.787,kW/m^2
84836968,06/01/2021 12:45,12,Solar Radiation Flux Density,0.807,kW/m^2
84838158,06/01/2021 13:00,12,Solar Radiation Flux Density,0.796,kW/m^2
84838159,06/01/2021 13:15,12,Solar Radiation Flux Density,0.9,kW/m^2
84838650,06/01/2021 13:30,12,Solar Radiation Flux Density,0.866,kW/m^2
84838651,06/01/2021 13:45,12,Solar Radiation Flux Density,0.864,kW/m^2
84839039,06/01/2021 14:00,12,Solar Radiation Flux Density,0.917,kW/m^2
84839040,06/01/2021 14:15,12,Solar Radiation Flux Density,0.888,kW/m^2
84839185,06/01/2021 14:30,12,Solar Radiation Flux Density,0.899,kW/m^2
84839348,06/01/2021 14:45,12,Solar Radiation Flux Density,0.858,kW/m^2
84839909,06/01/2021 15:00,12,Solar Radiation Flux Density,0.649,kW/m^2
84839910,06/01/2021 15:15,12,Solar Radiation Flux Density,0.783,kW/m^2
84840044,06/01/2021 15:30,12,Solar Radiation Flux Density,0.759,kW/m^2
84840234,06/01/2021 15:45,12,Solar Radiation Flux Density,0.357,kW/m^2
84840687,06/01/2021 16:00,12,Solar Radiation Flux Density,0.495,kW/m^2
84840686,06/01/2021 16:15,12,Solar Radiation Flux Density,0.425,kW/m^2
84841305,06/01/2021 16:30,12,Solar Radiation Flux Density,0.737,kW/m^2
84841304,06/01/2021 16:45,12,Solar Radiation Flux Density,0.602,kW/m^2
84841602,06/01/2021 17:00,12,Solar Radiation Flux Density,0.581,kW/m^2
84841603,06/01/2021 17:15,12,Solar Radiation Flux Density,0.34,kW/m^2
84841820,06/01/2021 17:30,12,Solar Radiation Flux Density,0.658,kW/m^2
84842010,06/01/2021 17:45,12,Solar Radiation Flux Density,0.572,kW/m^2
84842168,06/01/2021 18:00,12,Solar Radiation Flux Density,0.52,kW/m^2
84842372,06/01/2021 18:15,12,Solar Radiation Flux Density,0.47,kW/m^2
84842538,06/01/2021 18:30,12,Solar Radiation Flux Density,0.418,kW/m^2
84842753,06/01/2021 18:45,12,Solar Radiation Flux Density,0.373,kW/m^2
84842868,06/01/2021 19:00,12,Solar Radiation Flux Density,0.332,kW/m^2
84843263,06/01/2021 19:15,12,Solar Radiation Flux Density,0.29,kW/m^2
84843671,06/01/2021 19:30,12,Solar Radiation Flux Density,0.25,kW/m^2
84843672,06/01/2021 19:45,12,Solar Radiation Flux Density,0.209,kW/m^2
84844106,06/01/2021 20:00,12,Solar Radiation Flux Density,0.172,kW/m^2
84844107,06/01/2021 20:15,12,Solar Radiation Flux Density,0.135,kW/m^2
84844642,06/01/2021 20:30,12,Solar Radiation Flux Density,0.028,kW/m^2
84844643,06/01/2021 20:45,12,Solar Radiation Flux Density,0.032,kW/m^2
84845011,06/01/2021 21:00,12,Solar Radiation Flux Density,0.023,kW/m^2
84845010,06/01/2021 21:15,12,Solar Radiation Flux Density,0.008,kW/m^2
84845375,06/01/2021 21:30,12,Solar Radiation Flux Density,0.003,kW/m^2
84845376,06/01/2021 21:45,12,Solar Radiation Flux Density,0.001,kW/m^2
84845738,06/01/2021 22:00,12,Solar Radiation Flux Density,0,kW/m^2
84845739,06/01/2021 22:15,12,Solar Radiation Flux Density,0,kW/m^2
84846112,06/01/2021 22:30,12,Solar Radiation Flux Density,0,kW/m^2
84846113,06/01/2021 22:45,12,Solar Radiation Flux Density,0,kW/m^2
84846558,06/01/2021 23:00,12,Solar Radiation Flux Density,0,kW/m^2
84846559,06/01/2021 23:15,12,Solar Radiation Flux Density,0,kW/m^2
84846892,06/01/2021 23:30,12,Solar Radiation Flux Density,0,kW/m^2
84846893,06/01/2021 23:45,12,Solar Radiation Flux Density,0,kW/m^2
84847490,06/02/2021 00:00,12,Solar Radiation Flux Density,0,kW/m^2
84847489,06/02/2021 00:15,12,Solar Radiation Flux Density,0,kW/m^2
84847884,06/02/2021 00:30,12,Solar Radiation Flux Density,0,kW/m^2
84847885,06/02/2021 00:45,12,Solar Radiation Flux Density,0,kW/m^2
84848225,06/02/2021 01:00,12,Solar Radiation Flux Density,0,kW/m^2
84848226,06/02/2021 01:15,12,Solar Radiation Flux Density,0,kW/m^2
84848385,06/02/2021 01:30,12,Solar Radiation Flux Density,0,kW/m^2
84848626,06/02/2021 01:45,12,Solar Radiation Flux Density,0,kW/m^2
84848980,06/02/2021 02:00,12,Solar Radiation Flux Density,0,kW/m^2
84848981,06/02/2021 02:15,12,Solar Radiation Flux Density,0,kW/m^2
84849273,06/02/2021 02:30,12,Solar Radiation Flux Density,0,kW/m^2
84849274,06/02/2021 02:45,12,Solar Radiation Flux Density,0,kW/m^2
84849655,06/02/2021 03:00,12,Solar Radiation Flux Density,0,kW/m^2
84849654,06/02/2021 03:15,12,Solar Radiation Flux Density,0,kW/m^2
84850233,06/02/2021 03:30,12,Solar Radiation Flux Density,0,kW/m^2
84850234,06/02/2021 03:45,12,Solar Radiation Flux Density,0,kW/m^2
84850650,06/02/2021 04:00,12,Solar Radiation Flux Density,0,kW/m^2
84850651,06/02/2021 04:15,12,Solar Radiation Flux Density,0,kW/m^2
84851067,06/02/2021 04:30,12,Solar Radiation Flux Density,0,kW/m^2
84851068,06/02/2021 04:45,12,Solar Radiation Flux Density,0,kW/m^2
84851484,06/02/2021 05:00,12,Solar Radiation Flux Density,0,kW/m^2
84851485,06/02/2021 05:15,12,Solar Radiation Flux Density,0,kW/m^2
84851901,06/02/2021 05:30,12,Solar Radiation Flux Density,0.002,kW/m^2
84851902,06/02/2021 05:45,12,Solar Radiation Flux Density,0.004,kW/m^2
84852293,06/02/2021 06:00,12,Solar Radiation Flux Density,0.008,kW/m^2
84852294,06/02/2021 06:15,12,Solar Radiation Flux Density,0.011,kW/m^2
84852971,06/02/2021 06:30,12,Solar Radiation Flux Density,0.014,kW/m^2
84852970,06/02/2021 06:45,12,Solar Radiation Flux Density,0.017,kW/m^2
84853326,06/02/2021 07:00,12,Solar Radiation Flux Density,0.023,kW/m^2
84853325,06/02/2021 07:15,12,Solar Radiation Flux Density,0.17,kW/m^2
84853742,06/02/2021 07:30,12,Solar Radiation Flux Density,0.207,kW/m^2
84853743,06/02/2021 07:45,12,Solar Radiation Flux Density,0.243,kW/m^2
84854159,06/02/2021 08:00,12,Solar Radiation Flux Density,0.287,kW/m^2
84854160,06/02/2021 08:15,12,Solar Radiation Flux Density,0.328,kW/m^2
84854558,06/02/2021 08:30,12,Solar Radiation Flux Density,0.37,kW/m^2
84854559,06/02/2021 08:45,12,Solar Radiation Flux Density,0.41,kW/m^2
84854975,06/02/2021 09:00,12,Solar Radiation Flux Density,0.451,kW/m^2
84854976,06/02/2021 09:15,12,Solar Radiation Flux Density,0.493,kW/m^2
84855392,06/02/2021 09:30,12,Solar Radiation Flux Density,0.532,kW/m^2
84855393,06/02/2021 09:45,12,Solar Radiation Flux Density,0.57,kW/m^2
84855809,06/02/2021 10:00,12,Solar Radiation Flux Density,0.607,kW/m^2
84855810,06/02/2021 10:15,12,Solar Radiation Flux Density,0.642,kW/m^2
84856226,06/02/2021 10:30,12,Solar Radiation Flux Density,0.678,kW/m^2
84856227,06/02/2021 10:45,12,Solar Radiation Flux Density,0.711,kW/m^2
84856411,06/02/2021 11:00,12,Solar Radiation Flux Density,0.738,kW/m^2
84856600,06/02/2021 11:15,12,Solar Radiation Flux Density,0.77,kW/m^2
84857016,06/02/2021 11:30,12,Solar Radiation Flux Density,0.795,kW/m^2
84857017,06/02/2021 11:45,12,Solar Radiation Flux Density,0.817,kW/m^2
84857458,06/02/2021 12:00,12,Solar Radiation Flux Density,0.842,kW/m^2
84857459,06/02/2021 12:15,12,Solar Radiation Flux Density,0.86,kW/m^2
84857840,06/02/2021 12:30,12,Solar Radiation Flux Density,0.872,kW/m^2
84857839,06/02/2021 12:45,12,Solar Radiation Flux Density,0.895,kW/m^2
84858256,06/02/2021 13:00,12,Solar Radiation Flux Density,0.903,kW/m^2
84858257,06/02/2021 13:15,12,Solar Radiation Flux Density,0.91,kW/m^2
84858676,06/02/2021 13:30,12,Solar Radiation Flux Density,0.912,kW/m^2
84858677,06/02/2021 13:45,12,Solar Radiation Flux Density,0.913,kW/m^2
84858858,06/02/2021 14:00,12,Solar Radiation Flux Density,0.914,kW/m^2
84859117,06/02/2021 14:15,12,Solar Radiation Flux Density,0.908,kW/m^2
84859250,06/02/2021 14:30,12,Solar Radiation Flux Density,0.9,kW/m^2
84859483,06/02/2021 14:45,12,Solar Radiation Flux Density,0.885,kW/m^2
84860261,06/02/2021 15:00,12,Solar Radiation Flux Density,0.874,kW/m^2
84860476,06/02/2021 15:15,12,Solar Radiation Flux Density,0.853,kW/m^2
84860831,06/02/2021 15:30,12,Solar Radiation Flux Density,0.836,kW/m^2
84860830,06/02/2021 15:45,12,Solar Radiation Flux Density,0.808,kW/m^2
84861284,06/02/2021 16:00,12,Solar Radiation Flux Density,0.783,kW/m^2
84861285,06/02/2021 16:15,12,Solar Radiation Flux Density,0.757,kW/m^2
84861660,06/02/2021 16:30,12,Solar Radiation Flux Density,0.727,kW/m^2
84861661,06/02/2021 16:45,12,Solar Radiation Flux Density,0.692,kW/m^2
84861932,06/02/2021 17:00,12,Solar Radiation Flux Density,0.655,kW/m^2
84861933,06/02/2021 17:15,12,Solar Radiation Flux Density,0.618,kW/m^2
84862349,06/02/2021 17:30,12,Solar Radiation Flux Density,0.58,kW/m^2
84862350,06/02/2021 17:45,12,Solar Radiation Flux Density,0.544,kW/m^2
84862938,06/02/2021 18:00,12,Solar Radiation Flux Density,0.502,kW/m^2
84862939,06/02/2021 18:15,12,Solar Radiation Flux Density,0.463,kW/m^2
84863356,06/02/2021 18:30,12,Solar Radiation Flux Density,0.422,kW/m^2
