id,timestamp,parameterID,parameterName,parameterValue,parameterUnits
84828193,06/01/2021 01:00,12,Solar Radiation Flux Density,0,kW/m^2
84828194,06/01/2021 01:15,12,Solar Radiation Flux Density,0,kW/m^2
84828649,06/01/2021 01:30,12,Solar Radiation Flux Density,0,kW/m^2
84828650,06/01/2021 01:45,12,Solar Radiation Flux Density,0,kW/m^2
84829430,06/01/2021 02:00,12,Solar Radiation Flux Density,0,kW/m^2
84829431,06/01/2021 02:15,12,Solar Radiation Flux Density,0,kW/m^2
84829637,06/01/2021 02:30,12,Solar Radiation Flux Density,0,kW/m^2
84829638,06/01/2021 02:45,12,Solar Radiation Flux Density,0,kW/m^2
84830130,06/01/2021 03:00,12,Solar Radiation Flux Density,0,kW/m^2
84830131,06/01/2021 03:15,12,Solar Radiation Flux Density,0,kW/m^2
84830558,06/01/2021 03:30,12,Solar Radiation Flux Density,0,kW/m^2
84830559,06/01/2021 03:45,12,Solar Radiation Flux Density,0,kW/m^2
84830560,06/01/2021 04:00,12,Solar Radiation Flux Density,0,kW/m^2
84831113,06/01/2021 04:15,12,Solar Radiation Flux Density,0,kW/m^2
84831114,06/01/2021 04:30,12,Solar Radiation Flux Density,0,kW/m^2
84831309,06/01/2021 04:45,12,Solar Radiation Flux Density,0,kW/m^2
84831310,06/01/2021 05:00,12,Solar Radiation Flux Density,0,kW/m^2
84831849,06/01/2021 05:15,12,Solar Radiation Flux Density,0,kW/m^2
84831850,06/01/2021 05:30,12,Solar Radiation Flux Density,0,kW/m^2
84832230,06/01/2021 05:45,12,Solar Radiation Flux Density,0.002,kW/m^2
84832231,06/01/2021 06:00,12,Solar Radiation Flux Density,0.005,kW/m^2
84832426,06/01/2021 06:15,12,Solar Radiation Flux Density,0.017,kW/m^2
84832427,06/01/2021 06:30,12,Solar Radiation Flux Density,0.034,kW/m^2
84832941,06/01/2021 06:45,12,Solar Radiation Flux Density,0.033,kW/m^2
84832942,06/01/2021 07:00,12,Solar Radiation Flux Density,0.054,kW/m^2
84833162,06/01/2021 07:15,12,Solar Radiation Flux Density,0.063,kW/m^2
84833163,06/01/2021 07:30,12,Solar Radiation Flux Density,0.064,kW/m^2
84833749,06/01/2021 07:45,12,Solar Radiation Flux Density,0.07,kW/m^2
84833750,06/01/2021 08:00,12,Solar Radiation Flux Density,0.095,kW/m^2
84834112,06/01/2021 08:15,12,Solar Radiation Flux Density,0.107,kW/m^2
84834113,06/01/2021 08:30,12,Solar Radiation Flux Density,0.121,kW/m^2
84834287,06/01/2021 08:45,12,Solar Radiation Flux Density,0.147,kW/m^2
84834288,06/01/2021 09:00,12,Solar Radiation Flux Density,0.167,kW/m^2
84834791,06/01/2021 09:15,12,Solar Radiation Flux Density,0.181,kW/m^2
84834792,06/01/2021 09:30,12,Solar Radiation Flux Density,0.186,kW/m^2
84835147,06/01/2021 09:45,12,Solar Radiation Flux Density,0.192,kW/m^2
84835148,06/01/2021 10:00,12,Solar Radiation Flux Density,0.213,kW/m^2
84835553,06/01/2021 10:15,12,Solar Radiation Flux Density,0.237,kW/m^2
84835554,06/01/2021 10:30,12,Solar Radiation Flux Density,0.242,kW/m^2
84835959,06/01/2021 10:45,12,Solar Radiation Flux Density,0.195,kW/m^2
84835960,06/01/2021 11:00,12,Solar Radiation Flux Density,0.2,kW/m^2
84836340,06/01/2021 11:15,12,Solar Radiation Flux Density,0.328,kW/m^2
84836341,06/01/2021 11:30,12,Solar Radiation Flux Density,0.759,kW/m^2
84836521,06/01/2021 11:45,12,Solar Radiation Flux Density,0.704,kW/m^2
84836522,06/01/2021 12:00,12,Solar Radiation Flux Density,0.804,kW/m^2
84837051,06/01/2021 12:15,12,Solar Radiation Flux Density,0.875,kW/m^2
84837052,06/01/2021 12:30,12,Solar Radiation Flux Density,0.864,kW/m^2
84837053,06/01/2021 12:45,12,Solar Radiation Flux Density,0.916,kW/m^2
84838231,06/01/2021 13:00,12,Solar Radiation Flux Density,0.886,kW/m^2
84838232,06/01/2021 13:15,12,Solar Radiation Flux Density,0.853,kW/m^2
84838850,06/01/2021 13:30,12,Solar Radiation Flux Density,0.772,kW/m^2
84838851,06/01/2021 13:45,12,Solar Radiation Flux Density,0.952,kW/m^2
84838852,06/01/2021 14:00,12,Solar Radiation Flux Density,0.941,kW/m^2
84839421,06/01/2021 14:15,12,Solar Radiation Flux Density,0.941,kW/m^2
84839422,06/01/2021 14:30,12,Solar Radiation Flux Density,0.878,kW/m^2
84839742,06/01/2021 14:45,12,Solar Radiation Flux Density,0.896,kW/m^2
84839743,06/01/2021 15:00,12,Solar Radiation Flux Density,0.795,kW/m^2
84840102,06/01/2021 15:15,12,Solar Radiation Flux Density,0.88,kW/m^2
84840103,06/01/2021 15:30,12,Solar Radiation Flux Density,0.449,kW/m^2
84840537,06/01/2021 15:45,12,Solar Radiation Flux Density,0.451,kW/m^2
84840538,06/01/2021 16:00,12,Solar Radiation Flux Density,0.311,kW/m^2
84841173,06/01/2021 16:15,12,Solar Radiation Flux Density,0.727,kW/m^2
84841174,06/01/2021 16:30,12,Solar Radiation Flux Density,0.135,kW/m^2
84841675,06/01/2021 16:45,12,Solar Radiation Flux Density,0.2,kW/m^2
84841676,06/01/2021 17:00,12,Solar Radiation Flux Density,0.408,kW/m^2
84841878,06/01/2021 17:15,12,Solar Radiation Flux Density,0.347,kW/m^2
84841879,06/01/2021 17:30,12,Solar Radiation Flux Density,0.174,kW/m^2
84842226,06/01/2021 17:45,12,Solar Radiation Flux Density,0.143,kW/m^2
84842227,06/01/2021 18:00,12,Solar Radiation Flux Density,0.518,kW/m^2
84842596,06/01/2021 18:15,12,Solar Radiation Flux Density,0.472,kW/m^2
84842597,06/01/2021 18:30,12,Solar Radiation Flux Density,0.151,kW/m^2
84842926,06/01/2021 18:45,12,Solar Radiation Flux Density,0.062,kW/m^2
84842927,06/01/2021 19:00,12,Solar Radiation Flux Density,0.144,kW/m^2
84843744,06/01/2021 19:15,12,Solar Radiation Flux Density,0.044,kW/m^2
84843745,06/01/2021 19:30,12,Solar Radiation Flux Density,0.036,kW/m^2
84844190,06/01/2021 19:45,12,Solar Radiation Flux Density,0.037,kW/m^2
84844191,06/01/2021 20:00,12,Solar Radiation Flux Density,0.024,kW/m^2
84844192,06/01/2021 20:15,12,Solar Radiation Flux Density,0.023,kW/m^2
84844821,06/01/2021 20:30,12,Solar Radiation Flux Density,0.019,kW/m^2
